trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.35, 'e': 0.7637500000000004}",20,2,-75.5368277141577,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
43,False,"{'a': 0.35, 'e': 0.7527500000000004}",30,0,-167.40419131940365,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
44,False,"{'a': 0.35, 'e': 0.7415000000000004}",30,0,-42.10534921352314,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.35, 'e': 0.7300000000000004}",20,0,-78.04785796154829,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
46,False,"{'a': 0.35, 'e': 0.7182500000000004}",20,0,-89.840674331507,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
47,False,"{'a': 0.35, 'e': 0.7062500000000004}",30,0,-64.52277074000139,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.35, 'e': 0.6940000000000004}",20,6,16.754283056380935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.35, 'e': 0.6815000000000004}",20,4,-74.10726212435502,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
50,False,"{'a': 0.35, 'e': 0.6687500000000004}",20,9,-44.44736450759916,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
51,False,"{'a': 0.35, 'e': 0.6557500000000004}",25,0,-87.95715239013832,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
52,False,"{'a': 0.35, 'e': 0.6425000000000004}",30,2,-107.81943243705825,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 2}",1
53,False,"{'a': 0.35, 'e': 0.6290000000000004}",20,10,3.4960749425263273,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.35, 'e': 0.6152500000000004}",25,0,-139.8054872489189,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
55,False,"{'a': 0.35, 'e': 0.6012500000000004}",20,0,-25.833651722088508,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.35, 'e': 0.5870000000000004}",25,7,18.962657985282036,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.35, 'e': 0.5725000000000005}",25,16,-68.17896370837853,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
